,api,well_type,rotary_air_drilling,rotary_mud_drilling,days_passed_since_drilling_start_date,days_passed_since_drilling_complete_date,ground_water_depth_ft,depth_of_deepest_fresh_ground_water_ft,true_vertical_depth_ft,surface_elevation_ft,total_depth_by_driller_ft,total_depth_by_logger_ft,cement_returned_on_surface_casing,cement_returned_on_intermediate_casing,cement_type_conductor_casing_includes Class A,cement_type_conductor_casing_includes Class G,cement_type_conductor_casing_includes Class H,cement_type_conductor_casing_includes Block,cement_type_conductor_casing_includes No Cement,cement_type_conductor_casing_Other,cement_total_amount_conductor_casing_sks,cement_slurry_temperature_fahrenheit_conductor_casing,cement_WOC_Hrs_conductor_casing,cement_Wt_PPG_conductor_casing,cement_Yld_ft3/sk_conductor_casing,gas_block_documented_conductor_casing,cement_type_surface_casing_includes Class A,cement_type_surface_casing_includes Class H,cement_type_surface_casing_includes Block,cement_type_surface_casing_includes Bondcem,cement_type_surface_casing_includes Type 1,cement_type_surface_casing_includes Neocem,cement_type_surface_casing_includes No Cement,cement_type_surface_casing_Other,cement_total_amount_surface_casing_sks,cement_slurry_temperature_fahrenheit_surface_casing,cement_WOC_Hrs_surface_casing,cement_Wt_PPG_surface_casing,cement_Yld_ft3/sk_surface_casing,gas_block_documented_surface_casing,cement_type_intermediate_casing_includes Class A,cement_type_intermediate_casing_includes Class H,cement_type_intermediate_casing_includes Type 1,cement_type_intermediate_casing_includes Extendacem,cement_type_intermediate_casing_includes Bondcem,cement_type_intermediate_casing_includes Standard,cement_type_intermediate_casing_includes Premium,cement_type_intermediate_casing_includes Gasstop,cement_type_intermediate_casing_includes Block,cement_type_intermediate_casing_includes No Cement,cement_type_intermediate_casing_Other,cement_total_amount_intermediate_casing_sks,cement_slurry_temperature_fahrenheit_intermediate_casing,cement_WOC_Hrs_intermediate_casing,cement_Wt_PPG_intermediate_casing,cement_Yld_ft3/sk_intermediate_casing,gas_block_documented_intermediate_casing,cement_type_production_casing_includes Class A,cement_type_production_casing_includes Class H,cement_type_production_casing_includes Swiftseal,cement_type_production_casing_includes Fraccem,cement_type_production_casing_includes Poz,cement_type_production_casing_includes Expandacem,cement_type_production_casing_includes Varicem,cement_type_production_casing_includes Flexseal,cement_type_production_casing_includes Block,cement_type_production_casing_includes Halcem,cement_type_production_casing_includes No Cement,cement_type_production_casing Other,cement_combined_amount_production_casing_sks,cement_lead_slurry_temperature_fahrenheit_production_casing,cement_lead_WOC_Hrs_production_casing,cement_lead_Wt_PPG_production_casing,cement_lead_Yld_ft3/sk_production_casing,cement_tail_slurry_temperature_fahrenheit_production_casing,cement_tail_WOC_Hrs_production_casing,cement_tail_Wt_PPG_production_casing,cement_tail_Yld_ft3/sk_production_casing,gas_block_documented_production_casing,well_operator_encoded,thread_weld_rank_1_casing,grade_casing_tubing_type_rank_1_casing,country_of_origin_rank_1_casing,Recycled_rank_1_casing,hole_size_inch_rank_1_casing,pipe_size_inch_rank_1_casing,weight_lbs/ft_rank_1_casing,amount_in_well_ft_rank_1_casing,days_passed_since_date_run_rank_1_casing,thread_weld_rank_2_casing,grade_casing_tubing_type_rank_2_casing,country_of_origin_rank_2_casing,Recycled_rank_2_casing,hole_size_inch_rank_2_casing,pipe_size_inch_rank_2_casing,weight_lbs/ft_rank_2_casing,amount_in_well_ft_rank_2_casing,days_passed_since_date_run_rank_2_casing,thread_weld_rank_3_casing,grade_casing_tubing_type_rank_3_casing,country_of_origin_rank_3_casing,Recycled_rank_3_casing,hole_size_inch_rank_3_casing,pipe_size_inch_rank_3_casing,weight_lbs/ft_rank_3_casing,amount_in_well_ft_rank_3_casing,days_passed_since_date_run_rank_3_casing,thread_weld_rank_4_casing,grade_casing_tubing_type_rank_4_casing,country_of_origin_rank_4_casing,Recycled_rank_4_casing,hole_size_inch_rank_4_casing,pipe_size_inch_rank_4_casing,weight_lbs/ft_rank_4_casing,amount_in_well_ft_rank_4_casing,days_passed_since_date_run_rank_4_casing,latitude,longitude,well_status,well_configuration,scp_and_or_cvf
10,37-015-21228,Gas,True,True,4535.0,4471.0,,,,1414.0,9688.0,,Yes,Yes,False,False,False,False,True,False,0.0,,,,,False,True,False,False,False,False,False,False,False,508.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,405.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,1304.0,,,,,,,,,True,M,W,,,,,20.0,65.0,140.0,4535.0,LTC,J-55,,,17.5,13.375,65.0,452.0,4487.0,LTC,J-55,,,12.25,9.625,36.0,976.0,4485.0,LTC,P-110,,,8.75,5.5,20.0,9682.0,4471.0,41.877017,-76.836069,Active,Horizontal,True
11,37-015-20488,Gas,True,True,5101.0,5022.0,,,,1236.0,13274.0,6897.0,Yes,,False,True,False,False,False,False,135.0,,,,,False,False,False,False,False,False,False,True,False,0.0,,,,,False,False,False,True,False,False,False,False,False,False,False,False,442.0,,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,2400.0,,,,,,,,,False,C,,,,,24.0,20.0,,60.0,5102.0,No matching casing,No matching casing,No matching casing,No matching casing,,,,0.0,,LTC,,,,12.25,9.625,40.0,1006.0,5100.0,CDC,,,,7.875,5.5,20.0,13274.0,5020.0,41.649364,-76.33905,Active,Horizontal,False
12,37-015-20956,Gas,True,True,4496.0,4443.0,,,,1553.0,11443.0,,Yes,Yes,False,False,False,False,True,False,0.0,,,,,False,True,False,False,False,False,False,False,False,210.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,200.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,1150.0,,,,,,,,,True,M,W,,,,,20.0,65.0,60.0,4496.0,LTC,J-55,,,17.5,13.375,65.0,340.0,4458.0,LTC,J-55,,,12.25,9.625,36.0,727.0,4455.0,LTC,P-110,,,8.75,5.5,20.0,11443.0,4443.0,41.6804,-76.780253,Plugged,Horizontal,False
13,37-015-20440,Gas,True,True,5144.0,5000.0,,,,1568.0,11109.0,,Yes,,False,False,False,False,True,False,0.0,,,,,False,False,False,False,False,False,False,True,False,0.0,,,,,False,True,False,False,False,False,False,False,False,False,False,False,525.0,,,,,False,False,False,True,True,False,False,False,False,False,False,False,False,1930.0,,,,,,,,,False,M,W,,,,16.0,16.0,65.0,60.0,5144.0,No matching casing,No matching casing,No matching casing,No matching casing,,,,0.0,,LTC,,,,12.25,9.625,36.0,1300.9,5086.0,LTC,,,,8.5,5.5,20.0,11109.0,5000.0,41.857683,-76.834478,Active,Horizontal,True
14,37-015-20528,Gas,True,True,5045.0,4936.0,,,,1791.0,10956.0,10956.0,Yes,,False,False,False,False,True,False,0.0,,,,,False,False,False,False,False,False,False,True,False,0.0,,,,,False,True,False,False,False,False,False,False,False,False,False,False,525.0,,,,,False,False,False,True,True,False,False,False,False,False,False,False,False,2006.0,,,,,,,,,False,M,W,,,,,20.0,65.0,40.0,5045.0,No matching casing,No matching casing,No matching casing,No matching casing,,,,0.0,,LTC,,,,12.25,9.625,65.0,1282.4,5030.0,LTC,,,,8.5,5.5,20.0,10956.0,4936.0,41.836867,-76.892867,Active,Horizontal,True
15,37-015-20889,Gas,True,True,4862.0,4739.0,,,6547.0,1450.0,,,Yes,,False,False,False,False,False,False,0.0,,,,,False,True,False,False,False,False,False,False,False,600.0,,,,,False,True,False,False,False,False,False,False,False,False,False,False,524.0,,,,,False,True,False,False,False,True,False,False,False,False,False,False,False,2017.0,,,,,,,,,False,K,,H-40,,,24.0,20.0,94.0,40.0,4862.0,,J-55,,,17.5,13.375,48.0,752.0,4851.0,,J-55,,,12.25,9.625,36.0,1608.0,4849.0,,P-110,,,8.75,5.5,20.0,11693.0,4735.0,41.784003,-76.192586,Active,Horizontal,False
16,37-015-21275,Gas,True,True,4652.0,4529.0,,,,1822.0,11308.0,,Yes,Yes,False,False,False,False,True,False,0.0,,,,,False,True,False,False,False,False,False,False,False,410.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,450.0,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False,1019.0,,,,,,,,,True,M,W,,,,,20.0,65.0,80.0,4652.0,LTC,J-55,,,17.5,13.375,65.0,368.0,4544.0,LTC,J-55,,,12.25,9.625,36.0,1113.0,4543.0,LTC,P-110,,,8.75,5.5,20.0,11308.0,4529.0,41.863214,-76.881483,Active,Horizontal,False
17,37-015-22581,Gas,False,True,3893.0,3841.0,,776.0,8670.0,1740.0,14968.0,,Yes,Yes,True,False,False,False,False,False,62.0,82.0,8.0,15.8,1.2,False,True,False,False,False,False,False,False,False,495.0,55.0,8.0,15.8,2.32,True,True,False,False,False,False,False,False,False,False,False,False,425.0,70.0,8.0,15.8,2.32,True,True,False,False,False,False,False,False,False,False,False,False,False,2642.0,74.0,8.0,15.5,1.2,74.0,,15.5,1.21,True,C,W,J-55,CA,Y,26.0,20.0,94.0,77.0,3891.0,STC,J-55,US,Y,17.5,13.375,54.5,800.0,3861.0,LTC,J-55,US,Y,12.25,9.625,40.0,1983.0,3858.0,CDC,P-110,US,Y,8.5,5.5,20.0,14947.0,3839.0,41.562297,-76.254031,Active,Horizontal,False
18,37-015-21044,Gas,True,True,4772.0,4745.0,,,,1449.0,13276.0,7170.0,Yes,,True,False,False,False,False,False,195.0,,,,,False,True,False,False,False,False,False,False,False,495.0,,,,,False,True,False,False,False,False,False,False,False,False,False,False,1173.0,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,1740.0,,,,,,,,,False,C,,,,,24.0,20.0,,90.0,4845.0,STC,,,,17.5,13.375,54.5,535.0,4770.0,LTC,,,,12.25,9.625,40.0,3364.0,4760.0,CDC,,,,7.875,5.5,20.0,13267.0,4742.0,41.5919,-76.426153,Active,Horizontal,False
19,37-117-20851,Gas,True,True,4764.0,4625.0,,332.0,,1792.0,8575.0,8575.0,Yes,Yes,False,False,False,False,True,False,0.0,,,,,False,True,False,False,False,False,False,False,False,417.0,,,,,False,False,False,True,False,False,False,False,False,False,False,False,785.0,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,1700.0,,,,,,,,,True,L,,,,,20.0,20.0,78.6,,4764.0,STC,J-55,,,17.5,13.375,54.5,502.0,4741.0,STC,J-55,,,12.375,9.625,36.0,2016.0,4736.0,Other,P-110,,,7.875,5.5,20.0,8568.0,4625.0,41.603639,-76.917522,Active,Horizontal,True
